IP: 192.168.178.1	 MAC: e4:57:40:9b:7a:48	 VENDOR: ARRIS Group, Inc.
IP: 192.168.178.12	 MAC: 3a:2c:8c:36:b4:3d	 VENDOR: Unknown
IP: 192.168.178.32	 MAC: 00:45:e2:04:3a:23	 VENDOR: CyberTAN Technology Inc.
IP: 192.168.178.60	 MAC: 18:e8:29:ae:0f:35	 VENDOR: Ubiquiti Networks Inc.
IP: 192.168.178.81	 MAC: 18:a6:f7:a1:f8:6c	 VENDOR: TP-LINK TECHNOLOGIES CO.,LTD.
IP: 192.168.178.93	 MAC: 2c:6d:c1:8f:98:d2	 VENDOR: Intel Corporate
IP: 192.168.178.122	 MAC: 1c:61:b4:23:f4:fc	 VENDOR: TP-Link Corporation Limited
IP: 192.168.178.124	 MAC: 1c:61:b4:23:f4:44	 VENDOR: TP-Link Corporation Limited
IP: 192.168.178.134	 MAC: 00:26:f2:bb:24:1e	 VENDOR: NETGEAR
IP: 192.168.178.82	 MAC: 5c:0c:e6:7d:1a:94	 VENDOR: Nintendo Co.,Ltd
IP: 192.168.178.113	 MAC: ca:36:25:c0:85:ae	 VENDOR: Unknown
IP: 192.168.178.75	 MAC: ec:8e:b5:e9:33:56	 VENDOR: Hewlett Packard
